TF,avg_log2FC_deg,p_val_adj_deg,avg_log2FC_positive,p_val_adj_positive,avg_log2FC_negative,p_val_adj_negative,module,kME,direction
EBF3,-0.524661990453342,0.0293238589971341,-0.229719535660525,2.49056902884016e-07,0.349943856745479,4.04135908505088e-37,turquoise,0.366476719415605,Young_up
PBX1,-0.235861813394505,1,-0.247312122623166,2.94592807027772e-07,0.222554574736137,1.00000669014518e-09,turquoise,0.26890675909038,Young_up
ATF2,-0.653666700033813,0.00051113636554138,-0.318688437536325,3.2598432493973e-07,0.981226872946797,7.5335189437904e-48,turquoise,0.16214110903214,Young_up
RBPJ,0.0469788553458934,1,0.136825735052116,5.62158686450151e-07,0.165214657862277,2.97870028563844e-08,greenyellow,0.161913701484169,Aged_up
EPAS1,1.19982273672551,1.68958567170129e-19,0.184250834242004,1.60387877948262e-06,-0.450548571375852,6.66310236207558e-06,brown,0.417527077234132,Aged_up
ESRRB,1.89429055882888,1,0.574802810850927,2.52548639077605e-06,,,yellow,0.0764899248146589,Aged_up
EBF1,0.393491509818659,1.38017637761766e-05,0.156438535856682,5.46554314001986e-06,-0.292363204607724,9.92146377497883e-20,turquoise,0.326939438064383,Aged_up
TBX15,-0.432726412731277,1,-0.17233710067197,2.0472576398768e-05,0.284494679312338,1.6965600515875e-12,turquoise,0.205938860820473,Young_up
PPARG,0.596209205895891,1,0.174768371429635,3.14007965797744e-05,-0.296443556246967,1,yellow,0.139999242513026,Aged_up
ZEB1,-0.0631562568459088,1,-0.157616883525885,3.76598529302312e-05,0.298748242115816,5.32229968384421e-45,turquoise,0.376622724039905,Young_up
TCF4,-0.392955696673764,0.000507058277643418,-0.162090642927268,3.9995246550179e-05,0.279091596414315,1.49050469069819e-33,turquoise,0.508413914118863,Young_up
FOXN3,-0.0366321589493257,1,-0.173781932309223,4.00129109958344e-05,0.440216711413721,2.02896133746062e-41,turquoise,0.290010037757478,Young_up
ETV1,-0.740227766366504,0.00650928943010361,-0.173881310147203,4.10513162159982e-05,0.575288269944074,5.58375083371931e-54,blue,0.164079038733915,Young_up
ETV3,-0.234992458116082,1,0.254747994067716,5.646927995919e-05,0.293606933855553,0.0038444686221511,brown,0.149975400166179,Young_up
RFX7,0.019821440912744,1,-0.412442256383768,0.000125618242452116,,,turquoise,0.191640651941485,Aged_up
PAX1,0.309328058107729,1,0.140712555276258,0.00015452528700906,0.54575885223696,1.02738559306926e-11,red,0.230606044439323,Aged_up
MEOX1,1.15732496466268,1,-0.212686901850365,0.00131298568763122,1.43058587282347,0.818936073261921,black,0.177352723725247,Aged_up
PRRX1,-0.115833658444822,1,0.0801939067682187,0.00238360729612507,0.0802943735535147,1,brown,0.271902869461333,Young_up
ATF3,-0.304868942930078,1,-0.151228800664291,0.00502625112207248,0.237489029169845,1.63935424606879e-05,magenta,0.629902077948053,Young_up
EGR1,-0.154994875240311,0.204964557444555,-0.100556219460269,0.006022026828348,0.121488780998725,5.44445657490882e-06,magenta,0.644653196847773,Young_up
SOX9,0.408863731658643,1,0.253576462216095,0.0107255429887151,-0.0747036666166347,1,red,0.0703676901071245,Aged_up
NFIA,-0.395339983748409,2.86651925008457e-05,-0.136982914114646,0.0114825886946642,0.241832036162194,6.55856272238537e-24,turquoise,0.563213909436845,Young_up
CEBPD,-0.522176250315115,2.71295766617313e-05,-0.125239200325742,0.0152649735440906,-0.15242332298026,0.0119083716676647,purple,0.332590919345342,Young_up
KLF3,-0.0366856553039465,1,-0.0896200610786124,0.0289760369953413,0.443299268284361,1.17668194568019e-34,brown,0.105619375943488,Young_up
TCF7L2,0.263235068797432,1,0.10875145870662,0.0502971920770641,-0.0590678208354545,1,magenta,0.210800688729996,Aged_up
ZBTB7C,1.27033392649187,1.99304243466522e-09,0.055198244910887,0.820512145024415,0.035169476781765,1,yellow,0.583849754690941,Aged_up
MYBL1,-0.515100377308817,1,0.666967914127427,0.837186626525291,,,blue,0.109832028663523,Young_up
MEF2C,1.27280218208262,1,-0.0775795421272774,1,0.316477087765682,8.29011077122771e-32,pink,0.510727364580156,Aged_up
