gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
CP,FAP1,2.51720878989741,2.42799919839961,5.60433012573577,9.67215517793325e-05,0.0320361125813244,1.65676133272202,5,5,Up
GSTT2B,FAP1,-2.12765439341305,1.05423633083688,-5.60267472948325,9.69853327743797e-05,0.0320361125813244,1.57621802043211,5,5,Down
TANC1,FAP1,5.50421530059062,1.61958957447758,5.52405737286872,0.00011042597778599,0.035715902190156,1.34428083145228,5,5,Up
AL355838.1,FAP1,3.56029426273798,0.411994483254982,5.4606038310983,0.000122698326588219,0.0388753371486142,1.19713377973722,5,5,Up
NRK,FAP1,-2.64863930071653,4.34133610014788,-5.41272355376953,0.000132903129154162,0.0398326012155647,1.2942496960295,5,5,Down
SCN9A,FAP1,-2.78076994184986,3.97980445818891,-5.4063807701193,0.000134320390366059,0.0398326012155647,1.3017750266116,5,5,Down
AL033523.1,FAP1,1.71186871273244,5.48698022559754,5.40237154380289,0.000135224407671195,0.0398326012155647,1.24255937799061,5,5,Up
AC104758.5,FAP1,2.23788024546176,0.538039913681562,5.38849800068424,0.000138402281738732,0.0398326012155647,1.17084195202128,5,5,Up
PER1,FAP1,-1.6448246984645,5.6436005319286,-5.38786911741464,0.000138548178141095,0.0398326012155647,1.20643075473793,5,5,Down
GRM7,FAP1,-2.48069387716616,5.91004405638426,-5.36132011871944,0.00014485698400475,0.0408891759395225,1.16545790246561,5,5,Down
STEAP2-AS1,FAP1,1.94938570352272,2.30313030811561,5.33893331538162,0.000150410925453164,0.0411946078823394,1.24688714943189,5,5,Up
HAND2,FAP1,-2.94794369230048,1.03961299634247,-5.30184010061379,0.000160110578480601,0.0411946078823394,1.11393608824729,5,5,Down
MPPED2,FAP1,1.39392281210886,3.41946366016956,5.30017789027756,0.000160560306312235,0.0411946078823394,1.14616296118274,5,5,Up
PLA2G2A,FAP1,3.93483411841326,3.75206628297912,5.29834723592396,0.000161057141701649,0.0411946078823394,1.17711307670846,5,5,Up
L3MBTL4,FAP1,6.1844079022708,1.59041441597408,5.29152581053227,0.00016292270364948,0.0411946078823394,0.99394961184467,5,5,Up
ITM2C,FAP1,-1.2486331291019,4.73543292605966,-5.28126981760196,0.000165770331577098,0.0411946078823394,1.04572441729554,5,5,Down
SUSD4,FAP1,-2.05099794375052,3.28275803972218,-5.27542644775303,0.000167416066104143,0.0411946078823394,1.11281497397414,5,5,Down
PPDPF,FAP1,-1.38041225773577,3.8423074341207,-5.26724285726873,0.000169749753901991,0.0411946078823394,1.06250573348438,5,5,Down
ARL4C,FAP1,1.6713050821146,3.05740207392534,5.26525944600776,0.000170320475090097,0.0411946078823394,1.10731593582878,5,5,Up
CGNL1,FAP1,1.22323721801445,4.92795594299328,5.25783966333132,0.000172473398541195,0.0411946078823394,1.00824178975064,5,5,Up
AC009262.1,FAP1,1.89546734675164,4.42573254543844,5.24379926513302,0.000176625793470347,0.0415472036913202,1.0081152481281,5,5,Up
OAS3,FAP1,3.6045384335473,0.0144969116211831,5.20687239111969,0.000188054724246124,0.0425553624260446,0.810234119020768,5,5,Up
THEGL,FAP1,1.88075602553507,1.41260530046386,5.20223139385494,0.000189545000102611,0.0425553624260446,1.00409564731694,5,5,Up
ANK3,FAP1,-4.53772281537284,0.137309676869641,-5.19067411452287,0.000193310191812777,0.0425553624260446,0.815720098348633,5,5,Down
ELMOD1,FAP1,-2.51789688735189,1.77694526843814,-5.18428970369188,0.000195423657143212,0.0425553624260446,0.998767798298616,5,5,Down
PRDM16,FAP1,3.45975250163898,-0.147085463141687,5.17861459853456,0.000197322637632821,0.0425553624260446,0.761043269764006,5,5,Up
AL445250.1,FAP1,-1.57141736648085,7.92858037143483,-5.17502208212698,0.000198534732274934,0.0425553624260446,0.859343021229151,5,5,Down
PTGDR2,FAP1,-2.73602121520931,1.60983970358497,-5.16885540481827,0.000200633549588468,0.0425553624260446,0.96683312480353,5,5,Down
PDLIM3,FAP1,-6.33254658140703,0.490211827053407,-5.16042577996672,0.000203540219917907,0.0425553624260446,0.786928815240046,5,5,Down
TMEM255A,FAP1,2.33311740388855,2.05841128562083,5.15458098961401,0.000205581460995385,0.0425553624260446,0.95279023821163,5,5,Up
DKK3,FAP1,-1.79375164039816,3.64630093253882,-5.14284304669068,0.000209745851001147,0.0428461096946421,0.867746665982401,5,5,Down
APCDD1L-DT,FAP1,-1.55704349333684,5.46369449085743,-5.12669676428253,0.00021561906752473,0.04347384445872,0.767625985822619,5,5,Down
EPHA2,FAP1,2.20783296568186,1.27758437175162,5.09948435674593,0.000225910376855681,0.0449648538549289,0.829738338220573,5,5,Up
ICAM4,FAP1,4.39629741470134,2.19881780511456,5.06770224431522,0.000238583928861444,0.0459749166945628,0.792837877280226,5,5,Up
LMO3,FAP1,2.33428124648342,2.57472017841118,5.06335347878655,0.000240375061270732,0.0459749166945628,0.802865278405405,5,5,Up
PLPPR5,FAP1,-1.7475421676819,2.75426129067061,-5.06174544806393,0.000241040920394053,0.0459749166945628,0.778366332170578,5,5,Down
CRISPLD1,FAP1,-2.11024107305377,3.20270932512624,-5.05348144359321,0.000244493475038286,0.0459749166945628,0.746247173521462,5,5,Down
TBX18,FAP1,1.25834264863175,6.17019698664509,5.05040526151866,0.000245791825162558,0.0459749166945628,0.633390943271049,5,5,Up
CAMKK1,FAP1,-1.84217070301192,3.24035788676435,-5.04327272633677,0.000248830041441583,0.0459891237307212,0.723444057535357,5,5,Down
PBK,FAP1,1.67800624696297,3.77803018706814,5.02925615407021,0.000254915605963055,0.0461043695565413,0.67713095575441,5,5,Up
SLC2A13,FAP1,-1.09927622772623,8.31278640842602,-5.02817151435126,0.000255392965015301,0.0461043695565413,0.615792766795707,5,5,Down
AL513166.1,FAP1,1.05494517829694,5.93452949404942,5.01482185446202,0.000261345402769061,0.0461080665526777,0.572610396060624,5,5,Up
PDZRN4,FAP1,2.26055563808855,7.41609619080051,5.01480437305406,0.000261353291892795,0.0461080665526777,0.586588717808132,5,5,Up
CNTN3,FAP1,2.59422886536195,2.33648616495599,5.00802396484536,0.000264432053052944,0.0461270519510894,0.719082254833102,5,5,Up
RSPO3,FAP1,1.71442108307184,3.49178105059915,4.99741111702219,0.000269327333954379,0.0464589651071304,0.643305188532819,5,5,Up
LGI4,FAP1,1.61335951530507,2.78980646833742,4.99045857880024,0.000272585536375851,0.0465042906839021,0.674143025774741,5,5,Up
CNTFR,FAP1,2.47289470425382,2.62761371580623,4.94356439480976,0.000295665813727177,0.0498936060664612,0.609644610782278,5,5,Up
LYRM1,FAP1,1.25858734964762,5.43548211046447,4.93658266193385,0.000299272903588599,0.0499592669700322,0.447417981718977,5,5,Up
PER1,FAP2,-1.90943401259916,5.92240951153969,-6.96077552267606,1.24361257028096e-05,0.0474978499104568,3.49091129068983,5,5,Down
ZBTB7C,FAP2,1.90279981970086,5.0149369148458,6.76140300485564,1.66420663146666e-05,0.0474978499104568,2.80758388193938,5,5,Up
AL445250.1,FAP2,-2.36944195329758,5.90963994999009,-6.653287374098,1.95330431434366e-05,0.0474978499104568,3.08302434965294,5,5,Down
SHOX,FAP3,-3.354520809867,4.87385258863654,-8.2347203658941,7.0876851741395e-07,0.00362774603346383,5.62388689809948,5,5,Down
RNF150,FAP3,-3.39511107481482,4.30063189353478,-7.93163452385382,1.11691688222408e-06,0.00362774603346383,4.92673282907205,5,5,Down
AC004160.1,FAP3,2.7519647209207,5.52110722013839,7.51496142624407,2.12656117448122e-06,0.00460471379647667,5.06873443459568,5,5,Up
MAP3K5,FAP3,-1.76125497424425,6.1197260450267,-7.30272758936602,2.97742405185705e-06,0.00483533666021584,4.85785844894326,5,5,Down
HPSE2,FAP3,3.18644186788799,5.86518789599347,6.92663930995796,5.48509026404973e-06,0.00679755685309915,4.25928302645707,5,5,Up
KAZN,FAP3,2.1208011964037,8.82531977447238,6.73421798863608,7.55323242740408e-06,0.00679755685309915,4.01451698572437,5,5,Up
DKK2,FAP3,3.8242199344217,3.95098882909699,6.67871136073518,8.29126389613611e-06,0.00679755685309915,2.8225896609378,5,5,Up
NR1D2,FAP3,-2.00907162022886,6.43160957108883,-6.6730003888971,8.37137543485116e-06,0.00679755685309915,3.90579728291229,5,5,Down
LUCAT1,FAP3,2.94710382984117,6.18996461141063,6.41949139787678,1.28862799220664e-05,0.00916398347470739,3.48354145902187,5,5,Up
LRP1B,FAP3,3.82829455247113,7.67748846314907,6.36694317939536,1.41071174179609e-05,0.00916398347470739,3.41588948810428,5,5,Up
EPHA6,FAP3,4.1514858571661,5.08645063801404,6.1539020024662,2.04412543123684e-05,0.0112871530660792,2.79935146994044,5,5,Up
PLCB4,FAP3,-3.57426627520767,4.28116494273857,-6.14261152688414,2.08506522156635e-05,0.0112871530660792,2.83923030253773,5,5,Down
AMPD3,FAP3,3.62636592912471,5.21680827563701,5.95672016482661,2.89742383165012e-05,0.0137110856845483,2.62859535450847,5,5,Up
AC109927.1,FAP3,1.91557115556634,5.35402911742669,5.94569253772163,2.9549753630492e-05,0.0137110856845483,2.69545209654087,5,5,Up
PLA2G2A,FAP3,2.63039441751429,7.11089620565738,5.88178773549678,3.31281126165098e-05,0.0143466813037898,2.60351865267751,5,5,Up
COTL1,FAP3,1.53167757374292,5.41744134546279,5.6325276091077,5.20176445690259e-05,0.0210460097692491,2.17287773525889,5,5,Up
ERI2,FAP3,2.33534733993693,7.33927340077451,5.6012828051368,5.50773038911999e-05,0.0210460097692491,2.10765145956698,5,5,Up
IGFBP3,FAP3,-1.27394695086128,6.25676357740709,-5.55340463477739,6.01339770277973e-05,0.0217016841540317,2.03468278445922,5,5,Down
ADM,FAP3,1.55318637819475,5.8069825888536,5.50433849748758,6.58192156135653e-05,0.0225032434013537,1.95586262940833,5,5,Up
ISM1,FAP3,2.17480707576434,5.65213263872547,5.4244332460453,7.63033308125005e-05,0.0228434061197511,1.81716736574364,5,5,Up
