Table S2 Pseudobulk differential expression results across all cell types,,,,,,,,,,
gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
DACT1,FAP3,-1.431736468,4.995891853,-4.660691217,0.000326549,0.032107707,0.464606987,5,5,Down
MEPCE,FAP3,1.646843227,4.271882315,4.655666484,0.000329763,0.032107707,0.431305564,5,5,Up
SF3B6,FAP3,-1.126141017,5.181509797,-4.653512246,0.000331151,0.032107707,0.447416725,5,5,Down
RAB6A,FAP3,-1.012145285,6.421146101,-4.653498558,0.00033116,0.032107707,0.386310108,5,5,Down
SYNE2,FAP3,3.235585966,4.781004734,4.617343034,0.000355377,0.033676201,0.350960208,5,5,Up
CES1,FAP3,1.746652319,4.515424797,4.614000976,0.000357706,0.033676201,0.379620229,5,5,Up
TMEM184B,FAP3,1.577082092,5.078317762,4.595177592,0.000371118,0.034285809,0.347381327,5,5,Up
TTLL7,FAP3,-1.388950521,4.883097449,-4.59021714,0.000374737,0.034285809,0.337374591,5,5,Down
AC114971.1,FAP3,4.145710688,3.913686401,4.552327432,0.00040361,0.036414606,0.102163954,5,5,Up
AL078604.4,FAP3,1.623976737,10.97775418,4.544904242,0.00040953,0.036442517,0.118428789,5,5,Up
SLC16A7,FAP3,1.206880149,8.701560376,4.525282524,0.000425609,0.037361598,0.08363309,5,5,Up
CP,FAP3,2.892394004,4.777663566,4.508742081,0.000439667,0.037926324,0.18861684,5,5,Up
RFC3,FAP3,1.710350994,4.058240057,4.50214223,0.000445409,0.037926324,0.146967678,5,5,Up
MXD4,FAP3,-1.172987513,5.336574839,-4.496685143,0.000450214,0.037926324,0.152267437,5,5,Down
RMDN2-AS1,FAP3,1.598804584,6.100019563,4.490866982,0.000455396,0.037926324,0.114439221,5,5,Up
LINC00880,FAP3,2.107301792,5.862723745,4.471415334,0.00047317,0.038801643,0.085321746,5,5,Up
NABP1,FAP3,1.475296777,8.841213056,4.466201359,0.000478054,0.038801643,-0.029782298,5,5,Up
PAK3,FAP3,-1.393385906,6.413262574,-4.460109599,0.000483826,0.038801643,0.022584473,5,5,Down
SELENOW,FAP3,-1.464628802,5.555365403,-4.44705651,0.000496436,0.039327385,0.051905578,5,5,Down
LINC02245,FAP3,1.590694173,4.80374625,4.435187219,0.000508194,0.039440089,0.057789435,5,5,Up
CRY2,FAP3,-0.929719446,6.461426174,-4.430319068,0.000513099,0.039440089,-0.038990563,5,5,Down
DHDH,FAP3,1.454092805,4.551593329,4.427391185,0.000516073,0.039440089,0.046842609,5,5,Up
SERPINE3,FAP3,1.842559484,5.518710851,4.417392561,0.00052636,0.039758576,0.001941626,5,5,Up
KCNQ1OT1,FAP3,0.961244009,8.571497491,4.408031454,0.000536183,0.040008375,-0.141998138,5,5,Up
AC006460.2,FAP3,1.312653889,5.353083395,4.402583752,0.000541985,0.040008375,-0.022978385,5,5,Up
RIPOR3,FAP3,1.312822338,4.647398829,4.365758747,0.000582934,0.042277533,-0.066125925,5,5,Up
GLI2,FAP3,-1.720328471,5.74406784,-4.35355561,0.000597191,0.042277533,-0.136025476,5,5,Down
HHIP,FAP3,-2.191393801,7.341705778,-4.35283087,0.000598049,0.042277533,-0.213102773,5,5,Down
NUP210L,FAP3,1.73470884,5.265745434,4.352232781,0.000598758,0.042277533,-0.110943099,5,5,Up
TBX18,FAP3,1.207902866,5.811606911,4.32924119,0.000626674,0.043772808,-0.188082464,5,5,Up
AL033523.1,FAP3,1.674793463,5.255590243,4.32361175,0.000633709,0.043793359,-0.167571405,5,5,Up
TPRG1,FAP3,1.259814413,6.207896294,4.316891348,0.000642215,0.043913957,-0.236186054,5,5,Up
ADGRB3,FAP3,2.691929538,4.828003454,4.296813317,0.000668327,0.044459359,-0.189228343,5,5,Up
HDAC5,FAP3,-1.220648324,4.66952007,-4.290242617,0.000677107,0.044459359,-0.203244249,5,5,Down
EPHA7,FAP3,3.466016566,4.89314928,4.282017421,0.000688264,0.044459359,-0.230177334,5,5,Up
SMAD3,FAP3,0.993597837,8.048654318,4.275832473,0.000696777,0.044459359,-0.389202652,5,5,Up
PLEKHA6,FAP3,1.940520982,6.149938037,4.275377677,0.000697407,0.044459359,-0.298058686,5,5,Up
ADCY1,FAP3,-1.767141351,4.063599575,-4.274472781,0.000698663,0.044459359,-0.233868398,5,5,Down
AC068282.1,FAP3,-1.528600246,4.827688383,-4.267114391,0.000708959,0.044459359,-0.24744417,5,5,Down
CLDN11,FAP3,1.740149919,4.696458861,4.263710555,0.000713775,0.044459359,-0.25258631,5,5,Up
PLD5,FAP3,-1.693153332,5.665572948,-4.263493279,0.000714084,0.044459359,-0.298599315,5,5,Down
CSF1R,FAP3,2.13830316,4.206114477,4.260301144,0.000718632,0.044459359,-0.259739382,5,5,Up
TIMP3,FAP3,0.932464282,9.650899668,4.247447268,0.000737249,0.045180826,-0.460210103,5,5,Up
AF165147.1,FAP3,1.770999122,4.383422036,4.229040291,0.00076477,0.046429418,-0.309978206,5,5,Up
EFNB2,FAP3,1.684245067,4.177832087,4.221039684,0.000777058,0.046544303,-0.332533127,5,5,Up
