gene,Yellow_Module,Brown_Module,Blue_Module,DEGs_FAPs,SMR_UKB,SMR_FinnGen
BTN3A1,0,0,0,0,0,1
BTN3A2,0,0,0,0,0,1
BTNL9,0,0,0,0,0,1
BX322234.1,0,1,0,0,0,0
C10orf107,0,0,0,0,1,1
C10orf11,0,0,0,0,1,0
C10orf88,0,0,0,0,1,0
C11orf49,0,0,0,0,1,1
C11orf63,0,0,0,0,0,1
C11orf80,0,0,0,0,1,0
C11orf84,0,0,0,0,1,0
C11orf91,0,0,0,0,0,1
C11orf96,0,1,0,0,0,0
C12orf43,0,0,0,0,1,0
C12orf52,0,0,0,0,1,0
C12orf60,0,0,1,0,0,0
C14orf2,0,0,0,0,0,1
C14orf39,0,0,1,0,0,0
C15orf65,0,0,0,0,1,0
C16orf45,0,0,0,0,1,0
C16orf96,0,0,0,0,0,1
C17orf104,0,0,0,0,1,0
C17orf58,0,1,0,0,0,0
C17orf72,0,0,0,0,0,1
C18orf32,0,0,0,0,1,0
C19orf24,0,0,0,0,0,1
C19orf69,0,0,0,0,1,0
C1GALT1,1,0,0,0,0,1
C1orf115,0,0,0,0,0,1
C1orf143,0,0,1,0,0,0
C1orf145,0,0,0,0,0,1
C1orf228,0,0,0,0,1,1
C1orf233,0,0,0,0,0,1
C1orf50,0,0,0,0,0,1
C1QTNF1,0,1,0,0,0,0
C1QTNF4,0,0,0,0,1,1
C1R,1,0,0,1,0,0
C1S,0,0,0,1,0,0
C2,0,0,1,0,0,0
C22orf26,0,0,0,0,1,0
C22orf29,0,0,0,0,1,0
C2CD2,0,1,0,0,0,0
C2CD6,0,0,1,0,0,0
C2orf66,0,1,0,0,0,0
C2orf69,0,0,0,0,1,1
C2orf88,0,0,1,0,0,0
C3orf38,0,0,0,0,0,1
C3orf52,0,1,0,0,0,0
C4A,0,0,0,0,1,1
C4B,0,0,0,0,1,0
C4BPB,0,0,0,0,1,0
C4orf29,0,0,0,0,0,1
C4orf32,0,0,0,0,1,1
C5AR1,0,0,1,0,0,0
C5orf42,0,0,0,0,0,1
C5orf56,0,0,1,0,1,0
C6orf120,0,0,0,0,0,1
C6orf57,0,0,0,0,1,0
C7,1,0,0,0,0,0
C8orf31,0,0,0,0,1,0
C9,0,0,1,0,0,0
C9orf153,0,0,1,0,0,0
C9orf24,0,0,1,0,0,1
C9orf3,0,0,0,0,1,0
C9orf69,0,0,0,0,0,1
C9orf72,0,1,0,0,0,0
CA12,0,0,0,0,0,1
CA3,1,0,0,0,0,0
CAB39L,0,0,0,0,1,0
CABLES1,0,0,1,0,0,0
CACFD1,0,0,0,0,1,1
CACHD1,0,1,0,0,0,0
CACNA1A,0,0,1,0,0,0
CACNA1C,0,0,1,1,0,0
CACNA1G,0,0,0,0,1,0
CACNA2D1,0,1,0,0,0,1
CACNA2D2,0,0,0,0,0,1
CACNA2D3,0,0,0,0,1,0
CACNB4,0,1,0,0,0,0
CACNG7,0,0,1,0,0,0
CAD,0,0,0,0,0,1
CADPS,0,0,1,0,0,0
CADPS2,1,0,0,0,0,0
CALML6,0,0,0,0,1,0
CALR,0,0,0,0,1,0
CALU,0,0,0,0,0,1
CAMK1D,0,1,0,1,0,0
CAMK2D,0,1,0,0,0,0
CAMK2G,0,0,0,0,0,1
CAPN11,0,0,0,0,0,1
CAPN3,0,0,1,0,0,0
CAPS,0,0,0,0,1,0
CAPZA2,0,0,0,0,0,1
CARD9,0,0,0,0,0,1
CARF,0,0,0,0,0,1
CARMIL1,0,1,0,0,0,0
CARNMT1,0,1,0,0,0,0
CARS2,0,0,1,0,1,0
CASC1,0,0,1,0,0,0
CASC15,0,0,1,1,0,0
CASC4,0,0,0,0,1,0
CASP10,0,0,1,0,0,0
CASP8,0,0,1,0,0,0
CATSPER2,0,0,0,0,1,0
CATSPER2P1,0,0,0,0,1,0
CATSPERB,0,0,1,0,0,0
CATSPERE,0,1,0,0,0,0
CAV1,1,0,0,0,1,0
CAV3,0,0,1,0,0,0
CAVIN4,0,1,0,0,0,0
CBL,0,0,0,0,0,1
CBLB,0,1,0,0,0,1
CBLN3,0,0,0,0,1,1
CBWD2,0,0,0,0,0,1
CBX3,0,0,0,0,1,0
CBY1,0,0,0,0,1,0
CC2D1B,0,0,0,0,1,1
CCBE1,1,0,0,0,0,0
CCBL2,0,0,0,0,1,0
CCDC102B,0,0,0,0,1,0
CCDC114,0,0,0,0,0,1
CCDC116,0,0,0,0,1,1
CCDC127,0,0,0,0,1,0
CCDC138,0,1,0,0,0,0
CCDC141,0,0,1,0,0,0
CCDC148,0,0,1,0,0,0
CCDC15,0,0,1,0,0,0
CCDC152,0,0,1,0,0,0
CCDC167,0,0,0,0,1,0
CCDC18,0,1,0,0,0,1
CCDC181,0,0,1,0,0,0
CCDC192,0,0,1,0,0,0
CCDC200,0,0,1,0,0,0
CCDC23,0,0,0,0,0,1
CCDC3,0,0,1,0,0,0
CCDC36,0,0,0,0,1,1
CCDC39,0,0,1,0,0,0
CCDC69,0,0,1,0,0,0
CCDC71L,0,0,1,0,0,0
CCDC85A,0,0,1,1,0,0
CCDC88C,0,0,1,0,0,0
CCDC90B,0,0,0,0,0,1
CCDC92,0,0,0,0,1,1
CCDC93,0,0,0,0,1,0
CCHCR1,0,0,0,0,1,0
CCL2,0,1,0,0,0,0
CCL20,1,0,0,0,0,0
CCL3,0,1,0,0,0,0
CCL3L1,0,1,0,0,0,0
CCL4L2,0,1,0,0,0,0
CCM2L,0,0,0,0,1,0
CCN2,0,1,0,0,0,0
CCNE2,0,0,0,0,0,1
CCNG2,0,0,1,0,0,0
CCNY,0,0,0,0,1,0
CCPG1,0,0,0,0,1,0
CCR7,1,0,0,0,0,1
CCSER2,0,1,0,0,0,0
CCT6A,0,0,0,0,0,1
CD207,0,0,0,0,0,1
CD22,0,0,0,0,1,0
