level,x,y,piece,group,nlevel,n,PANEL,fill,colour,linewidth,linetype,alpha,sample
2e-08,3550.64905599895,-855.405460858586,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3528.22269570707,-842.515412915677,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3484.65135732323,-820.139070014568,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3479.17061111936,-817.475852272727,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3441.08001893939,-797.300682424267,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3403.19635434328,-779.546243686868,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3397.50868055556,-776.606837104977,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3353.93734217172,-755.023878764725,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3324.14998254076,-741.61663510101,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3310.36600378788,-734.733771215991,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3266.79466540404,-714.015311425769,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3243.74319836032,-703.687026515152,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3223.2233270202,-693.447713763405,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3179.65198863636,-672.692710611388,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3164.79473030405,-665.757417929293,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3136.08065025253,-650.797375856051,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3092.50931186869,-629.097315456029,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3090.01582676484,-627.827809343434,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3048.93797348485,-604.613019636306,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3022.11302761255,-589.898200757576,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,3005.36663510101,-579.785831683668,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2961.79529671717,-554.129554034442,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2958.1265480661,-551.968592171717,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2918.22395833333,-526.87267721275,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2896.47184280539,-514.038983585858,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,2874.65261994949,-500.538351318285,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
