sample,r,theo,border,trans,iso
1461EP,183.856384277344,106195.79066426,148813.419992309,154951.215853117,148442.737296105
1461EP,184.95076751709,107463.788873368,150497.631816122,156695.364100769,150074.801430959
1461EP,186.045150756836,108739.312294399,152173.562488645,158493.139635354,151774.254426732
1461EP,187.139533996582,110022.360927354,153838.162325163,160288.63873664,153457.416168305
1461EP,188.233917236328,111312.934772232,155430.405483375,162036.197145081,155093.23160901
1461EP,189.328300476074,112611.033829033,157083.059046551,163838.155997836,156783.727978135
1461EP,190.42268371582,113916.658097759,158961.350343965,165757.859666521,158573.627067204
1461EP,191.517066955566,115229.807578407,160737.102453047,167633.863371024,160323.477082296
1461EP,192.611450195313,116550.482270979,162348.822009051,169391.423665455,161975.474076561
1461EP,193.705833435059,117878.682175475,164031.294001597,171183.399896981,163648.744018084
1461EP,194.800216674805,119214.407291894,165837.221089284,173002.243356563,165355.378571116
1461EP,195.894599914551,120557.657620237,167538.985194051,174861.355972615,167096.940141502
1461EP,196.988983154297,121908.433160503,169230.848872239,176640.890190856,168764.179637399
1461EP,198.083366394043,123266.733912692,171025.788570562,178559.200574453,170550.953358785
1461EP,199.177749633789,124632.559876805,172670.444652481,180330.289051383,172208.713755174
1461EP,200.272132873535,126005.911052842,174442.346141151,182207.194338416,173956.929870976
1461EP,201.366516113281,127386.787440802,176031.781316182,184104.30600904,175737.066757034
1461EP,202.460899353027,128775.189040685,177775.110938556,185965.272537728,177473.249466974
1461EP,203.555282592773,130171.115852492,179479.233725249,187828.212835568,179211.759205657
1461EP,204.64966583252,131574.567876223,181367.810505223,189823.216688489,181069.622245278
1461EP,205.744049072266,132985.545111877,183110.158899347,191726.602506584,182867.260527945
1461EP,206.838432312012,134404.047559454,184976.681460071,193684.050444895,184696.935935713
1461EP,207.932815551758,135830.075218955,186827.597460158,195676.80744636,186573.411172605
1461EP,209.027198791504,137263.62809038,188605.65337728,197550.945066041,188342.038002629
1461EP,210.12158203125,138704.706173728,190366.417144667,199436.368319722,190106.894568093
1461EP,211.215965270996,140153.309468999,192217.788098756,201301.805478527,191845.817566366
1461EP,212.310348510742,141609.437976194,194004.882993936,203294.668504906,193709.660528344
1461EP,213.404731750488,143073.091695312,195813.716446875,205251.811204703,195541.033210273
1461EP,214.499114990234,144544.270626354,197777.403948889,207249.909494489,197399.170218182
1461EP,215.59349822998,146022.974769319,199763.191253668,209369.671248307,199374.35388822
1461EP,216.687881469727,147509.204124208,201593.08612016,211292.310204101,201165.712469328
1461EP,217.782264709473,149002.958691021,203507.524788562,213351.399707478,203079.468296338
1461EP,218.876647949219,150504.238469756,205225.363480703,215206.232421085,204810.608309751
1461EP,219.971031188965,152013.043460416,207224.758201474,217277.639218655,206742.86711676
1461EP,221.065414428711,153529.373662999,209018.039691088,219203.994286021,208547.66354347
