condition,pattern,pathway,cell_group,raw_score,row_scaled_score,cell_total_raw,pathway_total_raw,pathway_order,group_order
Young,incoming,TGFb,FAP3,0.0333909717355964,0.932994236609632,5.28157614199179,0.0818277581308158,8,1
Young,incoming,TGFb,Other FAPs,0.0357890439462246,1,6.05523592906163,0.0818277581308158,8,2
Young,incoming,TGFb,MuSC,0,0,5.70717396131039,0.0818277581308158,8,3
Young,incoming,TGFb,Myogenic,0,0,0.496074959979603,0.0818277581308158,8,4
Young,incoming,TGFb,Immune,0.0126477424489948,0.353397047096282,6.19276415314689,0.0818277581308158,8,5
Young,incoming,TGFb,Endothelial,0,0,4.41814675026932,0.0818277581308158,8,6
Young,incoming,TGFb,Vascular stromal,0,0,6.00154220104743,0.0818277581308158,8,7
Young,incoming,JAM,FAP3,0.0150198620992317,0.946043896041462,5.28157614199179,0.0559587834941173,9,1
Young,incoming,JAM,Other FAPs,0.00512767214944547,0.322972535022997,6.05523592906163,0.0559587834941173,9,2
Young,incoming,JAM,MuSC,0.0158764959660745,1,5.70717396131039,0.0559587834941173,9,3
Young,incoming,JAM,Myogenic,0,0,0.496074959979603,0.0559587834941173,9,4
Young,incoming,JAM,Immune,0.00805474076050851,0.507337436278144,6.19276415314689,0.0559587834941173,9,5
Young,incoming,JAM,Endothelial,0.0059840619504997,0.376913266207271,4.41814675026932,0.0559587834941173,9,6
Young,incoming,JAM,Vascular stromal,0.00589595056835753,0.37136346590307,6.00154220104743,0.0559587834941173,9,7
Young,incoming,CDH5,FAP3,0,0,5.28157614199179,0.0259748099772517,10,1
Young,incoming,CDH5,Other FAPs,0,0,6.05523592906163,0.0259748099772517,10,2
Young,incoming,CDH5,MuSC,0,0,5.70717396131039,0.0259748099772517,10,3
Young,incoming,CDH5,Myogenic,0,0,0.496074959979603,0.0259748099772517,10,4
Young,incoming,CDH5,Immune,0,0,6.19276415314689,0.0259748099772517,10,5
Young,incoming,CDH5,Endothelial,0.0259748099772517,1,4.41814675026932,0.0259748099772517,10,6
Young,incoming,CDH5,Vascular stromal,0,0,6.00154220104743,0.0259748099772517,10,7
Young,incoming,CDH,FAP3,0,0,5.28157614199179,0.00414135762001763,11,1
Young,incoming,CDH,Other FAPs,0,0,6.05523592906163,0.00414135762001763,11,2
Young,incoming,CDH,MuSC,0.00414135762001763,1,5.70717396131039,0.00414135762001763,11,3
Young,incoming,CDH,Myogenic,0,0,0.496074959979603,0.00414135762001763,11,4
Young,incoming,CDH,Immune,0,0,6.19276415314689,0.00414135762001763,11,5
Young,incoming,CDH,Endothelial,0,0,4.41814675026932,0.00414135762001763,11,6
Young,incoming,CDH,Vascular stromal,0,0,6.00154220104743,0.00414135762001763,11,7
Young,outgoing,COLLAGEN,FAP3,5.75528030977294,0.899112122285792,9.79124048551665,19.6686301083553,1,1
Young,outgoing,COLLAGEN,Other FAPs,6.40107075315749,1,11.4860457442233,19.6686301083553,1,2
Young,outgoing,COLLAGEN,MuSC,1.60170881334758,0.25022513812357,4.77237219349636,19.6686301083553,1,3
Young,outgoing,COLLAGEN,Myogenic,0.604284692920578,0.0944036890425714,0.652634884407937,19.6686301083553,1,4
Young,outgoing,COLLAGEN,Immune,0,0,0.0465115406468754,19.6686301083553,1,5
Young,outgoing,COLLAGEN,Endothelial,1.88789809005039,0.294934732461617,2.56108544701319,19.6686301083553,1,6
Young,outgoing,COLLAGEN,Vascular stromal,3.41838744910637,0.534033692319392,4.84262380150271,19.6686301083553,1,7
