db_order	interaction_name	pathway_name
413	COL9A2_GP6	COLLAGEN
414	COL9A3_GP6	COLLAGEN
415	THBS1_CD47	THBS
416	THBS2_CD47	THBS
417	THBS3_CD47	THBS
418	THBS4_CD47	THBS
419	COMP_CD47	THBS
420	HSPG2_DAG1	HSPG
421	LAMA1_DAG1	LAMININ
422	LAMA2_DAG1	LAMININ
423	LAMA3_DAG1	LAMININ
424	LAMA4_DAG1	LAMININ
425	LAMA5_DAG1	LAMININ
426	LAMB1_DAG1	LAMININ
427	LAMB2_DAG1	LAMININ
428	LAMB3_DAG1	LAMININ
429	LAMC1_DAG1	LAMININ
430	LAMC2_DAG1	LAMININ
431	LAMC3_DAG1	LAMININ
432	VTN_PLAUR	VTN
433	CDH15_CDH15	CDH
434	CDH4_CDH4	CDH
435	CDH2_CDH2	CDH
436	CDH1_CDH1	CDH
437	CDH1_ITGA1_ITGB1	CDH1
438	CDH1_ITGAE_ITGB7	CDH1
439	CDH1_KLRG1	CDH1
440	CDH5_CDH5	CDH5
441	ICAM1_ITGAX_ITGB2	ICAM
442	ICAM1_ITGAL_ITGB2	ICAM
443	ICAM2_ITGAL_ITGB2	ICAM
444	ICAM1_ITGAM_ITGB2	ICAM
445	ICAM2_ITGAM_ITGB2	ICAM
446	ICAM1_ITGAL	ICAM
447	ICAM1_SPN	ICAM
448	ICAM5_CD209	ICAM
449	JAM2_ITGA3_ITGB1	JAM
450	JAM2_ITGAV_ITGB1	JAM
451	JAM3_ITGAM_ITGB2	JAM
452	JAM1_ITGAL_ITGB2	JAM
453	JAM2_JAM3	JAM
454	F11R_F11R	JAM
455	JAM2_F11R	JAM
456	JAM2_JAM2	JAM
457	JAM3_F11R	JAM
458	JAM3_JAM3	JAM
459	ITGA4_ITGB1_VCAM1	VCAM
460	ITGA9_ITGB1_VCAM1	VCAM
461	ITGA4_ITGB7_VCAM1	VCAM
462	CDH3_CDH3	CDH
463	CDH12_ITGA1_ITGB1	CDH
464	PCDHA10_PCDHA10	PCDH
465	PCDHA11_PCDHA11	PCDH
466	PCDHA12_PCDHA12	PCDH
467	PCDHA13_PCDHA13	PCDH
468	PCDHA1_PCDHA1	PCDH
469	PCDHA2_PCDHA2	PCDH
470	PCDHA3_PCDHA3	PCDH
471	PCDHA4_PCDHA4	PCDH
472	PCDHA5_PCDHA5	PCDH
473	PCDHA6_PCDHA6	PCDH
474	PCDHA7_PCDHA7	PCDH
475	PCDHA8_PCDHA8	PCDH
476	PCDHA9_PCDHA9	PCDH
477	PCDHAC1_PCDHAC1	PCDH
478	PCDHAC2_PCDHAC2	PCDH
479	PCDHB1_PCDHB1	PCDH
480	PCDHB10_PCDHB10	PCDH
481	PCDHB11_PCDHB11	PCDH
482	PCDHB12_PCDHB12	PCDH
483	PCDHB13_PCDHB13	PCDH
484	PCDHB14_PCDHB14	PCDH
485	PCDHB15_PCDHB15	PCDH
486	PCDHB16_PCDHB16	PCDH
487	PCDHB2_PCDHB2	PCDH
488	PCDHB3_PCDHB3	PCDH
489	PCDHB4_PCDHB4	PCDH
490	PCDHB5_PCDHB5	PCDH
491	PCDHB6_PCDHB6	PCDH
492	PCDHB7_PCDHB7	PCDH
493	PCDHB8_PCDHB8	PCDH
494	PCDHB9_PCDHB9	PCDH
495	PCDHGA1_PCDHGA1	PCDH
496	PCDHGA10_PCDHGA10	PCDH
497	PCDHGA11_PCDHGA11	PCDH
498	PCDHGA12_PCDHGA12	PCDH
499	PCDHGA2_PCDHGA2	PCDH
500	PCDHGA3_PCDHGA3	PCDH
501	PCDHGA4_PCDHGA4	PCDH
502	PCDHGA5_PCDHGA5	PCDH
503	PCDHGA6_PCDHGA6	PCDH
504	PCDHGA7_PCDHGA7	PCDH
505	PCDHGA8_PCDHGA8	PCDH
506	PCDHGA9_PCDHGA9	PCDH
507	PCDHGB1_PCDHGB1	PCDH
508	PCDHGB2_PCDHGB2	PCDH
509	PCDHGB3_PCDHGB3	PCDH
510	PCDHGB4_PCDHGB4	PCDH
511	PCDHGB5_PCDHGB5	PCDH
512	PCDHGB6_PCDHGB6	PCDH
513	PCDHGB7_PCDHGB7	PCDH
514	PCDHGC3_PCDHGC3	PCDH
515	PCDHGC4_PCDHGC4	PCDH
516	PCDHGC5_PCDHGC5	PCDH
517	MMP2_INTEGRIN_AVB3_COMPLEX	MMP
518	VCAM1_INTEGRIN_ADB2	VCAM
