"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"PBX1","PBX1","turquoise","turquoise",-0.0587104968429473,0.066567908265576,0.185382415102673,-0.0906471441946489,0.26890675909038,-0.189660299627127,-0.0184395865887316,0.0128673381298319,-0.00463070175574487,0.0893610037993787,0.0273557011494885,0.0995410370331528
"PARD3","PARD3","blue","blue",-0.0681361794323274,0.116573810250409,0.102924659283196,-0.129722335168613,0.0851842031443198,0.0577940031772224,0.160362112120254,-0.0242095714963369,-0.119614039092125,-0.0209504687274561,0.126925004162715,0.0217801544768441
"PTEN","PTEN","turquoise","turquoise",-0.0264560033707944,0.0483647933762749,0.180280664679004,-0.054444611440563,0.371954047972279,-0.275555387765059,-0.205355568689906,0.00905777382136616,-0.0063781437089544,0.0690146350515871,-0.108610190423735,0.0202613439620255
"WDPCP","WDPCP","blue","blue",-0.0229522019906245,0.116951145870278,0.0140228884121244,0.116739250131191,0.0978573221581185,-0.0659600258728074,-0.0506812864596226,0.0197678330127969,0.0135063977461305,-0.013838527265371,-0.0787487270888922,-0.0366747033813909
"MT1E","MT1E","turquoise","turquoise",0.00118072271569611,0.000121546742104745,0.0565084949894788,0.0524537321530913,0.0765155401298329,-0.092464067628221,-0.051678299883049,0.0932972294703234,-0.0170405485301231,0.0666542096360536,-0.036293963015353,0.0866861657608184
"GCNT4","GCNT4","brown","brown",-0.0464535624554435,-0.0643079619445999,-0.0279463534164938,0.00324396658326372,-0.133330939469534,0.24256239869538,0.0489715876525735,-0.0211382265988969,0.023178790787575,0.0786536265902904,0.0784617875113552,-0.0837810974377656
"TAPT1-AS1","TAPT1-AS1","turquoise","turquoise",-0.0171369316134053,0.0877982893157365,0.100718309027815,-0.00760805333112807,0.164666632677839,-0.104036669048273,-0.012534235955384,-0.00411495941200914,0.00589037656685701,0.00772406525270094,-0.0193815581345871,0.0109918510058772
"TNFAIP2","TNFAIP2","red","red",-0.0711377128994376,-0.158180296832774,0.021314940037524,-0.0354162381011226,-0.142133103640527,0.203028148291819,0.348025318078972,-0.111824620846554,0.0993930038585984,-0.139526853195632,0.0915141735546471,0.146273168736234
"SFMBT1","SFMBT1","brown","brown",-0.0325785673747465,-0.0251590637603921,0.0305007644654309,0.00238495791895435,-0.00799788757897711,0.0662333062447685,-0.0427163184376413,0.0253956990842917,0.0601510864542922,0.0223769958772082,-0.023106332888084,-0.0355120073666668
"KL","KL","turquoise","turquoise",-0.0123182667876002,0.0557612001961023,0.102548888005988,-0.0177064060254754,0.140219902595431,-0.0845118691332017,-0.0606256086479761,0.00275766292195365,0.0309970108487841,0.0604309103981642,-0.0166176358897979,-0.0160100977167147
"NNT-AS1","NNT-AS1","turquoise","turquoise",-0.0216921754329084,0.0537413277563514,0.102812353428984,-0.0271333101541103,0.136920630317045,-0.0843220256922999,-0.0492777896407251,0.00662871289214289,0.035569492117095,0.0372569539830496,-0.0214645112572544,0.00514845313932135
"ANKDD1A","ANKDD1A","red","red",-0.0409529433107188,0.078212063845649,0.0175728870039321,-0.0105586061697949,-0.0585730440294616,0.10892350083947,0.20727814072474,-0.0328805106134894,-0.0663142541650896,-0.0827453085695663,0.0671712206913198,-0.00316597121293743
"KIF20B","KIF20B","turquoise","turquoise",-0.013193870564542,0.033222220483346,0.0723701899302803,-0.0246348681949795,0.0798793535357642,-0.0561669033042612,-0.024480763213823,-0.00136704382824213,0.0211264877510433,0.00271997859650753,-0.0199705278557538,0.0124943192802443
"ADAMTS17","ADAMTS17","brown","brown",-0.0491698569751467,0.0343125115797642,-0.108816588366291,0.223419019773312,-0.153884115618238,0.22739695666685,0.134850546448763,0.0177708453369587,-0.0523362532651408,-0.0545108168315119,0.0555378095609335,-0.0622183093462628
"FGR","FGR","pink","pink",0.120273613528441,-0.00829699834188987,-0.0334916689550194,0.0121674208057955,-0.0160981392055963,-0.0188568999402685,-0.0184279165706376,0.040071296732735,-0.0157132902519028,0.0117749600220667,-0.00719372770210152,-0.00356546172547268
"OGFRL1","OGFRL1","brown","brown",-0.0567181701287801,-0.0668403313453268,0.0822120014009873,-0.082843269153431,0.00168205000059904,0.129717714630108,0.0501057305984989,-0.0139951181733891,-0.0471689845232329,0.104595222268302,0.132416225257449,0.00765736929154003
"SPECC1","SPECC1","turquoise","turquoise",-0.0198135697158576,0.0340628315663337,0.13620900687211,0.0140490459426071,0.236065887961844,-0.154777380762115,-0.0382051935523536,0.0595267975960127,-0.0737420329865289,0.0952859719481643,0.0393527501997612,0.0838110638462153
"CYP4X1","CYP4X1","turquoise","turquoise",-0.0614950082884657,0.0920192099737823,0.198888745815011,-0.0961165615225923,0.222561489399215,-0.0867004189267004,0.0029982660508432,-0.0661693238049475,0.0567001494578628,-0.0115671437748098,0.0680014212903989,0.0336434543888657
"PRMT3","PRMT3","brown","brown",-0.0278541414858794,0.0188411018925594,-0.0568122729720892,0.13603384249328,-0.0480420083727527,0.136034079833965,-0.0736951772455053,0.00965618741936891,0.0490440085919315,-0.0169110097075135,-0.0964893630960886,-0.137943021394985
"GASAL1","GASAL1","red","red",-0.021652655114363,0.0850420601894835,0.0868000751956694,-0.0478810939377351,0.039533700189872,-0.0526245566896844,0.201191697669392,-0.0213277537392116,-0.0513794013659619,-0.0327744301189134,0.111295936549696,0.114357025233269
"WIPF1","WIPF1","turquoise","turquoise",-0.00572733674975033,0.0914035136164366,0.141494616351041,-0.0486099498630054,0.228710993254675,-0.164692210804297,-0.077201474965625,0.106288142017856,0.0334699433742006,0.104366711979269,-0.0240384136882498,0.00388849621075046
"ABCC5","ABCC5","turquoise","turquoise",-0.0342862384993356,0.0056037040713994,0.117770396996784,-0.0155009451133738,0.137050425130081,-0.0674908383588201,-0.016372212765525,-0.0108069772380915,0.0218644657574347,0.0225668513500503,0.00473329035148597,0.0683597316551638
"ACADL","ACADL","turquoise","turquoise",-0.00829461080992065,0.017948139024562,0.093145210714916,-0.0554646184696142,0.149139957819608,-0.116258383212322,-0.0239815872553223,-0.036515598977986,-0.0228488147616982,-0.0460317388807601,-0.0319436274772735,0.0148572852880643
"CENPO","CENPO","blue","blue",-0.019681552706728,0.146175817926806,0.0735132837495334,-0.0221597664605209,0.0861799197395803,-0.0546057107042162,-0.0118548408953615,-0.00449699669608406,0.0130119948755179,-0.000582769330810309,-0.0165983509980535,0.000983875417049704
"DENND3","DENND3","yellow","yellow",-0.00667097799143007,0.0178560461538546,-0.00765842056877044,0.125546589907873,0.00351678351361519,0.00118991607921739,-0.0145876900118688,0.00545053404329658,0.00906199254562993,0.00259193286666514,-0.0192562100120112,-0.0170809188407944
"SLC7A5","SLC7A5","brown","brown",-0.0267057862603405,-0.0794328576876798,-0.13409352752233,0.198364522369898,-0.201276389999797,0.240700383686444,0.0271689286072347,0.0257653805691479,0.00986618708439287,-0.0386814163555884,-0.0425911460425114,-0.0782039621086077
"NVL","NVL","turquoise","turquoise",0.0154180388608325,0.0482381052503552,0.0856617025036494,-0.0131433935844722,0.172919298521948,-0.123482338708454,-0.0862837286825014,0.0396138378792407,0.00961095604405425,0.0222336548968426,-0.0679481719035585,-0.026577258914414
"VPS50","VPS50","turquoise","turquoise",-0.0263494743611405,0.0304105981824554,0.148515248202137,-0.0479644219525163,0.242386639593669,-0.187373029740316,-0.10263121319633,0.026291020705113,0.0280825835092548,0.0517606673493381,-0.0532523891001594,0.0436167478212692
